id,user,uid,version,changeset,timestamp
8946559,doug_sfba,1796809,4,35958524,2015-12-15T03:32:55Z
8946560,balrog-kun,20587,4,4245390,2010-03-27T12:14:52Z
8946570,chairmanmauricio,712537,5,12871195,2012-08-26T19:53:31Z
8946576,adbrown,54598,2,798223,2008-11-26T09:24:26Z
8946592,mk408,201724,5,7042746,2011-01-21T17:54:02Z
8946593,balrog-kun,20587,2,4245390,2010-03-27T12:14:57Z
8946597,balrog-kun,20587,3,4245390,2010-03-27T12:14:58Z
8946615,balrog-kun,20587,4,4245390,2010-03-27T12:15:02Z
8946626,balrog-kun,20587,3,4245390,2010-03-27T12:15:03Z
8946644,andrewpmk,1679,5,33685326,2015-08-30T15:54:25Z
8946649,Bike Mapper,74705,3,38629460,2016-04-16T19:14:53Z
8946651,Alexander Avtanski,79401,4,4724482,2010-05-17T01:17:30Z
8946653,mk408,201724,9,3930619,2010-02-21T08:25:34Z
8946655,mk408,201724,3,3930619,2010-02-21T08:25:43Z
8946658,Bike Mapper,74705,12,25565350,2014-09-20T18:29:43Z
8946660,Minh Nguyen,33757,13,34010936,2015-09-13T23:59:49Z
8946665,balrog-kun,20587,3,4245390,2010-03-27T12:15:11Z
8946674,n76,318696,5,21770324,2014-04-18T15:10:39Z
8946675,balrog-kun,20587,3,4245390,2010-03-27T12:15:12Z
8946679,balrog-kun,20587,4,4245390,2010-03-27T12:15:13Z
8946681,mk408,201724,3,4127287,2010-03-14T17:35:47Z
8946693,Minh Nguyen,33757,4,32255476,2015-06-28T05:11:21Z
8946699,Telecas,202256,4,45153466,2017-01-14T05:09:47Z
8946700,mk408,201724,12,7002613,2011-01-17T18:42:09Z
8946712,balrog-kun,20587,5,4245390,2010-03-27T12:15:20Z
8946714,balrog-kun,20587,4,4245390,2010-03-27T12:15:20Z
8946723,Telecas,202256,13,45843403,2017-02-06T01:17:17Z
8946730,mk408,201724,8,4121221,2010-03-14T06:23:36Z
8946731,balrog-kun,20587,2,4245390,2010-03-27T12:15:23Z
8946732,Telecas,202256,6,44415658,2016-12-15T07:11:53Z
8946740,adbrown,54598,8,5874366,2010-09-25T20:34:45Z
8946743,balrog-kun,20587,4,4245390,2010-03-27T12:15:26Z
8946750,Bike Mapper,74705,4,18077875,2013-09-28T14:50:30Z
8946758,adbrown,54598,6,5874366,2010-09-25T20:54:59Z
8946763,mk408,201724,4,4121084,2010-03-14T05:05:46Z
8946765,phoenix23,383461,10,20998755,2014-03-09T03:05:56Z
8946779,Bike Mapper,74705,4,26671165,2014-11-09T18:46:53Z
8946780,Bike Mapper,74705,3,16662342,2013-06-22T22:11:15Z
8946784,balrog-kun,20587,2,4245390,2010-03-27T12:15:33Z
8946790,doug_sfba,1796809,8,44434043,2016-12-15T21:58:55Z
8946802,balrog-kun,20587,3,4245390,2010-03-27T12:15:35Z
